cond,pid,source,file,toGIG,toDRG,fpocket_pos,fpocket_dist,threading
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3164412_0.pdb,2.955,3.875,10.0,7.94,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3173688_0.pdb,14.164,14.768,1.0,4.39,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3258958_0.pdb,3.163,2.551,9.0,6.41,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3272425_0.pdb,3.517,3.644,10.0,8.87,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3409641_0.pdb,15.882,16.238,3.0,6.4,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3525792_0.pdb,3.357,2.395,9.0,7.6,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_3558352_0.pdb,13.26,13.857,1.0,12.39,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4084784_0.pdb,3.672,3.143,9.0,5.62,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4404938_0.pdb,4.096,4.549,10.0,8.41,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4432607_0.pdb,13.828,14.477,1.0,7.49,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4655035_0.pdb,3.696,2.843,9.0,5.61,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4738856_0.pdb,16.7,17.284,3.0,6.74,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4793829_0.pdb,13.741,14.264,3.0,7.67,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_4987597_0.pdb,3.906,4.097,10.0,8.87,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5150748_0.pdb,14.277,14.977,1.0,5.07,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5210660_0.pdb,12.464,12.901,1.0,4.71,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5344631_0.pdb,2.502,3.775,10.0,4.97,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5360307_0.pdb,3.306,2.637,9.0,5.02,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5486751_0.pdb,3.851,4.095,10.0,9.46,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5514124_0.pdb,15.058,15.799,1.0,4.91,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5546062_0.pdb,16.581,17.084,3.0,6.96,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5574444_0.pdb,4.051,4.292,10.0,10.28,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_5638682_0.pdb,12.583,13.218,3.0,10.43,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6116881_0.pdb,15.337,15.983,2.0,6.42,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6394761_0.pdb,3.766,3.012,9.0,5.4,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6605372_0.pdb,2.854,3.823,10.0,6.27,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6609648_0.pdb,15.968,16.564,3.0,5.95,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6693580_0.pdb,15.397,16.049,1.0,6.71,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6840324_0.pdb,14.03,14.901,1.0,7.61,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_6867097_0.pdb,14.2,15.083,2.0,7.97,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_7146755_0.pdb,16.201,16.546,5.0,7.1,ambiguous
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_7393942_0.pdb,3.964,2.967,9.0,7.32,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_7860914_0.pdb,10.155,10.629,10.0,12.15,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_7922062_0.pdb,15.199,15.834,2.0,7.53,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_8293895_0.pdb,16.028,16.783,2.0,6.13,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_8641887_0.pdb,2.724,3.729,10.0,4.05,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_8726445_0.pdb,5.314,5.814,10.0,11.88,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_8859381_0.pdb,15.668,16.383,1.0,8.55,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9179329_0.pdb,4.794,4.651,7.0,10.8,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9361177_0.pdb,13.066,13.838,2.0,8.97,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9387734_0.pdb,4.378,3.288,9.0,7.59,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9388479_0.pdb,10.37,9.718,7.0,6.7,forward
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9439075_0.pdb,15.537,16.118,1.0,6.05,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9744694_0.pdb,15.949,16.696,1.0,7.33,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9875722_0.pdb,14.114,14.87,1.0,8.6,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9912522_0.pdb,17.763,18.082,4.0,6.86,reverse
L1_nterm,6AM5,promising,outputs/promising/pdb/6AM5_L1_nterm_wA_9963320_0.pdb,3.549,3.236,8.0,7.65,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0108702_0.pdb,3.296,2.908,9.0,8.57,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0163086_0.pdb,4.779,4.091,8.0,7.25,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0329595_0.pdb,14.734,15.553,3.0,10.52,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0396375_0.pdb,6.596,7.08,8.0,12.63,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0444390_0.pdb,2.695,2.827,10.0,7.66,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0457561_0.pdb,14.878,15.703,1.0,9.55,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0724840_0.pdb,4.576,3.813,8.0,9.07,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0767679_0.pdb,14.26,14.807,2.0,5.92,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0842117_0.pdb,14.836,15.496,2.0,8.43,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0914513_0.pdb,3.221,4.141,10.0,8.18,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_1555675_0.pdb,16.701,17.315,1.0,10.4,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_1783703_0.pdb,14.02,14.533,2.0,6.04,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_2238719_0.pdb,17.564,17.879,5.0,8.38,ambiguous
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_2312970_0.pdb,15.113,15.623,4.0,8.34,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_2448726_0.pdb,15.014,15.728,1.0,6.85,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_2467874_0.pdb,4.84,4.02,8.0,5.71,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_2783591_0.pdb,15.099,15.787,1.0,7.92,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_2984075_0.pdb,6.523,6.294,6.0,9.65,ambiguous
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3130106_0.pdb,15.129,15.672,3.0,6.83,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3232756_0.pdb,13.765,14.434,2.0,7.34,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3254694_0.pdb,14.976,15.675,4.0,9.78,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3351425_0.pdb,4.358,3.811,9.0,7.5,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3426784_0.pdb,8.337,7.224,7.0,5.2,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3489865_0.pdb,11.225,10.332,6.0,8.16,ambiguous
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3562518_0.pdb,3.571,3.268,9.0,7.91,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3638614_0.pdb,14.571,15.137,3.0,8.33,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_3714630_0.pdb,15.273,15.874,3.0,8.26,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_4369648_0.pdb,15.602,16.114,3.0,6.89,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_4535321_0.pdb,3.783,3.336,9.0,7.43,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_5105561_0.pdb,3.883,3.0,9.0,6.96,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_5292273_0.pdb,3.339,2.62,9.0,7.98,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_5320550_0.pdb,5.154,4.325,8.0,6.41,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_5839586_0.pdb,3.629,3.156,9.0,4.09,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6152412_0.pdb,15.686,16.391,3.0,9.3,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6294689_0.pdb,15.386,16.036,1.0,10.41,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6315879_0.pdb,2.786,2.345,9.0,5.78,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6400745_0.pdb,15.558,16.117,2.0,8.19,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6450064_0.pdb,3.592,3.0,9.0,5.91,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6809158_0.pdb,13.576,14.216,3.0,12.0,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6868941_0.pdb,15.862,16.381,3.0,6.38,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6883287_0.pdb,3.924,4.313,10.0,5.06,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_6913124_0.pdb,3.638,2.572,9.0,5.57,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_7113900_0.pdb,15.728,16.197,3.0,7.77,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_7887337_0.pdb,1.993,2.679,10.0,4.51,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_7911331_0.pdb,14.362,14.983,3.0,8.57,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_7925818_0.pdb,4.979,4.349,7.0,7.96,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_8098276_0.pdb,15.585,16.163,2.0,6.69,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_8658306_0.pdb,5.414,4.556,8.0,6.99,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_8763368_0.pdb,14.122,14.878,1.0,5.88,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_8834645_0.pdb,13.821,14.657,1.0,7.98,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9065959_0.pdb,13.799,14.292,4.0,8.07,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9111702_0.pdb,6.25,5.463,8.0,6.74,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9124862_0.pdb,16.229,16.719,2.0,7.58,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9227077_0.pdb,3.167,3.788,10.0,7.99,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9237923_0.pdb,7.874,8.485,10.0,10.66,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9322142_0.pdb,15.896,16.54,3.0,7.78,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9550896_0.pdb,6.415,6.994,10.0,11.5,forward
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9579222_0.pdb,14.684,15.417,1.0,9.39,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9590638_0.pdb,12.97,13.736,1.0,9.91,reverse
L2_nterm_t1,6AM5,promising,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_9863365_0.pdb,3.775,3.174,9.0,6.76,forward
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_0495049_0.pdb,15.149,15.833,1.0,7.16,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_0495049_1.pdb,10.163,9.433,5.0,7.72,ambiguous
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_2463547_0.pdb,15.057,15.694,1.0,4.59,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_2463547_1.pdb,16.891,17.219,4.0,7.88,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_2596526_0.pdb,13.352,14.083,3.0,9.7,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_2596526_1.pdb,12.373,12.993,3.0,10.21,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_3456588_0.pdb,3.881,3.118,9.0,6.82,forward
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_3456588_1.pdb,15.024,15.772,1.0,4.99,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_6591080_0.pdb,14.281,14.893,2.0,7.46,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_6591080_1.pdb,16.136,16.661,2.0,7.14,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_7427611_0.pdb,13.444,14.111,1.0,5.65,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_7427611_1.pdb,7.262,7.893,10.0,10.6,forward
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_8097652_0.pdb,14.891,15.476,1.0,5.46,reverse
L3_nterm_t2,6AM5,promising,outputs/promising/pdb/6AM5_L3_nterm_t2_w1_8097652_1.pdb,14.358,15.211,3.0,9.12,reverse
