source,pid,context,cond,tcr_present,pep_len,toGIG,toDRG,file,to_cognate,to_other,crossed,fpocket_pos,fpocket_dist,bpocket_pos,bpocket_dist,f_seated,b_seated,register,threading,occ_cognate,occ_crossed,class_300Kext,class_370K
grind,6AMU,withTCR,mhc,True,10,14.846,15.621,outputs/grind/pdb/6AMU_mhc_L10_w1_1782215296_0.pdb,15.621,14.846,False,2.0,6.76,9.0,4.75,False,True,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc,True,10,13.761,14.21,outputs/grind/pdb/6AMU_mhc_L10_w1_1782215296_1.pdb,14.21,13.761,False,2.0,6.17,8.0,10.26,True,False,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc_tcr2,True,10,15.09,15.763,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782202509_0.pdb,15.763,15.09,False,3.0,8.75,9.0,5.13,False,True,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc_tcr2,True,10,13.908,14.194,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782202509_1.pdb,14.194,13.908,False,2.0,6.52,10.0,8.99,False,False,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc_tcr2,True,10,15.114,15.65,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782218409_0.pdb,15.65,15.114,False,1.0,5.32,9.0,5.12,True,True,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,mhc_tcr2,True,10,3.864,3.007,outputs/grind/pdb/6AMU_mhc_tcr2_L10_w0_1782218409_1.pdb,3.007,3.864,False,9.0,5.02,3.0,5.62,True,True,DRG,forward,True,False,neither,neither
grind,6AMU,withTCR,tcr2,True,10,5.384,5.313,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782197483_0.pdb,5.313,5.384,False,10.0,10.0,2.0,5.85,False,True,off,forward,False,False,neither,neither
grind,6AMU,withTCR,tcr2,True,10,15.301,15.887,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782197483_1.pdb,15.887,15.301,False,3.0,6.65,10.0,4.76,False,True,off,reverse,False,False,neither,neither
grind,6AMU,withTCR,tcr2,True,10,7.377,7.093,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782213142_0.pdb,7.093,7.377,False,9.0,5.91,2.0,9.62,True,False,DRG,forward,True,False,neither,neither
grind,6AMU,withTCR,tcr2,True,10,16.732,16.966,outputs/grind/pdb/6AMU_tcr2_L10_w0_1782213142_1.pdb,16.966,16.732,False,6.0,9.97,10.0,10.49,False,False,off,ambiguous,False,False,neither,neither
ladder,6AM5,withTCR,L1_nterm,True,10,15.984,16.552,outputs/ladder/pdb/6AM5_L1_nterm_0.pdb,15.984,16.552,False,3.0,8.92,9.0,4.32,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L1_nterm,True,10,3.282,3.731,outputs/ladder/pdb/6AM5_L1_nterm_1.pdb,3.282,3.731,False,10.0,9.21,2.0,4.31,False,True,off,forward,False,False,neither,neither
ladder,6AM5,withTCR,L1_nterm,True,10,3.334,3.739,outputs/ladder/pdb/6AM5_L1_nterm_2.pdb,3.334,3.739,False,10.0,6.18,1.0,2.15,True,True,GIG,forward,True,False,neither,neither
ladder,6AM5,withTCR,L2_nterm_t1,True,10,2.618,3.13,outputs/ladder/pdb/6AM5_L2_nterm_t1_0.pdb,2.618,3.13,False,10.0,5.5,3.0,5.87,True,True,GIG,forward,True,False,neither,neither
ladder,6AM5,withTCR,L2_nterm_t1,True,10,3.726,3.145,outputs/ladder/pdb/6AM5_L2_nterm_t1_1.pdb,3.726,3.145,False,9.0,6.64,2.0,5.12,False,True,off,forward,False,False,neither,neither
ladder,6AM5,withTCR,L2_nterm_t1,True,10,15.752,16.319,outputs/ladder/pdb/6AM5_L2_nterm_t1_2.pdb,15.752,16.319,False,2.0,5.87,9.0,5.51,True,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L3_nterm_t2,True,10,14.521,15.373,outputs/ladder/pdb/6AM5_L3_nterm_t2_0.pdb,14.521,15.373,False,2.0,6.96,8.0,5.04,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L3_nterm_t2,True,10,13.691,14.368,outputs/ladder/pdb/6AM5_L3_nterm_t2_1.pdb,13.691,14.368,False,3.0,10.52,8.0,4.84,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L3_nterm_t2,True,10,14.888,15.439,outputs/ladder/pdb/6AM5_L3_nterm_t2_2.pdb,14.888,15.439,False,2.0,6.64,9.0,5.25,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L4_expanded,True,10,15.47,16.029,outputs/ladder/pdb/6AM5_L4_expanded_0.pdb,15.47,16.029,False,2.0,7.54,10.0,3.85,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L4_expanded,True,10,14.199,14.84,outputs/ladder/pdb/6AM5_L4_expanded_1.pdb,14.199,14.84,False,2.0,5.88,10.0,4.71,True,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L4_expanded,True,10,15.096,15.81,outputs/ladder/pdb/6AM5_L4_expanded_2.pdb,15.096,15.81,False,2.0,10.86,7.0,3.57,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L5_max,True,10,15.182,15.561,outputs/ladder/pdb/6AM5_L5_max_0.pdb,15.182,15.561,False,3.0,8.63,10.0,5.05,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L5_max,True,10,15.359,15.924,outputs/ladder/pdb/6AM5_L5_max_1.pdb,15.359,15.924,False,3.0,6.58,10.0,5.37,False,True,off,reverse,False,False,neither,neither
ladder,6AM5,withTCR,L5_max,True,10,14.358,14.809,outputs/ladder/pdb/6AM5_L5_max_2.pdb,14.358,14.809,False,4.0,6.86,10.0,4.55,False,True,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L1_nterm,True,10,7.734,6.833,outputs/ladder/pdb/6AMU_L1_nterm_0.pdb,6.833,7.734,False,8.0,9.99,1.0,6.2,False,True,off,forward,False,False,neither,neither
ladder,6AMU,withTCR,L1_nterm,True,10,11.804,12.286,outputs/ladder/pdb/6AMU_L1_nterm_1.pdb,12.286,11.804,False,1.0,6.21,8.0,8.55,True,False,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L1_nterm,True,10,13.406,13.985,outputs/ladder/pdb/6AMU_L1_nterm_2.pdb,13.985,13.406,False,5.0,7.22,10.0,6.61,False,True,off,ambiguous,False,False,neither,neither
ladder,6AMU,withTCR,L2_nterm_t1,True,10,6.225,5.662,outputs/ladder/pdb/6AMU_L2_nterm_t1_0.pdb,5.662,6.225,False,8.0,7.98,1.0,6.03,False,True,off,forward,False,False,neither,neither
ladder,6AMU,withTCR,L2_nterm_t1,True,10,12.27,12.81,outputs/ladder/pdb/6AMU_L2_nterm_t1_1.pdb,12.81,12.27,False,1.0,5.36,10.0,3.89,True,True,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L2_nterm_t1,True,10,13.434,13.81,outputs/ladder/pdb/6AMU_L2_nterm_t1_2.pdb,13.81,13.434,False,2.0,5.36,8.0,9.63,True,False,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L3_nterm_t2,True,10,8.822,7.954,outputs/ladder/pdb/6AMU_L3_nterm_t2_0.pdb,7.954,8.822,False,6.0,10.23,1.0,4.97,False,True,off,ambiguous,False,False,neither,neither
ladder,6AMU,withTCR,L3_nterm_t2,True,10,12.763,13.286,outputs/ladder/pdb/6AMU_L3_nterm_t2_1.pdb,13.286,12.763,False,2.0,7.68,9.0,7.87,False,False,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L3_nterm_t2,True,10,14.443,14.925,outputs/ladder/pdb/6AMU_L3_nterm_t2_2.pdb,14.925,14.443,False,3.0,5.07,10.0,8.99,True,False,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L4_expanded,True,10,5.161,4.654,outputs/ladder/pdb/6AMU_L4_expanded_0.pdb,4.654,5.161,False,9.0,7.55,1.0,7.62,False,False,off,forward,False,False,neither,neither
ladder,6AMU,withTCR,L4_expanded,True,10,14.569,14.895,outputs/ladder/pdb/6AMU_L4_expanded_1.pdb,14.895,14.569,False,4.0,7.67,5.0,10.18,False,False,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L4_expanded,True,10,5.054,4.163,outputs/ladder/pdb/6AMU_L4_expanded_2.pdb,4.163,5.054,False,9.0,6.36,1.0,4.43,True,True,DRG,forward,True,False,neither,neither
ladder,6AMU,withTCR,L5_max,True,10,16.745,17.063,outputs/ladder/pdb/6AMU_L5_max_0.pdb,17.063,16.745,False,3.0,7.87,10.0,8.29,False,False,off,reverse,False,False,neither,neither
ladder,6AMU,withTCR,L5_max,True,10,4.062,3.293,outputs/ladder/pdb/6AMU_L5_max_1.pdb,3.293,4.062,False,8.0,5.66,2.0,5.05,True,True,off,forward,False,False,neither,neither
ladder,6AMU,withTCR,L5_max,True,10,13.502,14.102,outputs/ladder/pdb/6AMU_L5_max_2.pdb,14.102,13.502,False,1.0,5.64,9.0,5.34,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,5.046,5.706,outputs/promising/pdb/6AM5_L1_nterm_wA_0223714_0.pdb,5.046,5.706,False,10.0,9.51,2.0,5.24,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.591,3.098,outputs/promising/pdb/6AM5_L1_nterm_wA_0410900_0.pdb,3.591,3.098,False,9.0,9.08,2.0,3.77,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.873,3.231,outputs/promising/pdb/6AM5_L1_nterm_wA_0440841_0.pdb,3.873,3.231,False,9.0,6.48,2.0,4.26,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.17,15.821,outputs/promising/pdb/6AM5_L1_nterm_wA_0605714_0.pdb,15.17,15.821,False,2.0,7.01,9.0,3.81,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.608,16.356,outputs/promising/pdb/6AM5_L1_nterm_wA_0725193_0.pdb,15.608,16.356,False,2.0,4.96,9.0,4.81,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,13.035,13.816,outputs/promising/pdb/6AM5_L1_nterm_wA_0840924_0.pdb,13.035,13.816,False,2.0,10.58,9.0,3.99,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.131,3.644,outputs/promising/pdb/6AM5_L1_nterm_wA_0924030_0.pdb,3.131,3.644,False,10.0,7.71,3.0,5.2,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.785,3.405,outputs/promising/pdb/6AM5_L1_nterm_wA_1074802_0.pdb,3.785,3.405,False,9.0,7.99,3.0,4.96,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.678,3.909,outputs/promising/pdb/6AM5_L1_nterm_wA_1334564_0.pdb,3.678,3.909,False,9.0,6.48,3.0,4.49,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,6.271,5.371,outputs/promising/pdb/6AM5_L1_nterm_wA_1396342_0.pdb,6.271,5.371,False,7.0,8.39,1.0,5.35,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.867,4.096,outputs/promising/pdb/6AM5_L1_nterm_wA_1606116_0.pdb,4.867,4.096,False,8.0,8.51,2.0,4.99,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.642,4.826,outputs/promising/pdb/6AM5_L1_nterm_wA_1641945_0.pdb,4.642,4.826,False,10.0,9.95,4.0,5.65,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,5.25,4.393,outputs/promising/pdb/6AM5_L1_nterm_wA_1721760_0.pdb,5.25,4.393,False,8.0,4.9,2.0,6.15,True,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.643,4.991,outputs/promising/pdb/6AM5_L1_nterm_wA_1854117_0.pdb,4.643,4.991,False,10.0,9.11,1.0,6.8,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,5.894,5.189,outputs/promising/pdb/6AM5_L1_nterm_wA_2316061_0.pdb,5.894,5.189,False,6.0,10.15,2.0,6.67,False,True,off,ambiguous,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,14.925,15.181,outputs/promising/pdb/6AM5_L1_nterm_wA_2325033_0.pdb,14.925,15.181,False,4.0,8.48,10.0,8.28,False,False,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,5.691,4.921,outputs/promising/pdb/6AM5_L1_nterm_wA_2414158_0.pdb,5.691,4.921,False,8.0,7.37,1.0,5.35,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,13.558,14.279,outputs/promising/pdb/6AM5_L1_nterm_wA_2533145_0.pdb,13.558,14.279,False,2.0,8.64,10.0,4.0,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.217,3.347,outputs/promising/pdb/6AM5_L1_nterm_wA_2666267_0.pdb,3.217,3.347,False,10.0,6.71,2.0,5.43,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,19.356,20.102,outputs/promising/pdb/6AM5_L1_nterm_wA_3072981_0.pdb,19.356,20.102,False,1.0,13.95,5.0,5.33,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,2.955,3.875,outputs/promising/pdb/6AM5_L1_nterm_wA_3164412_0.pdb,2.955,3.875,False,10.0,7.94,2.0,4.29,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,14.164,14.768,outputs/promising/pdb/6AM5_L1_nterm_wA_3173688_0.pdb,14.164,14.768,False,1.0,4.39,9.0,5.78,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.163,2.551,outputs/promising/pdb/6AM5_L1_nterm_wA_3258958_0.pdb,3.163,2.551,False,9.0,6.41,2.0,5.36,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.517,3.644,outputs/promising/pdb/6AM5_L1_nterm_wA_3272425_0.pdb,3.517,3.644,False,10.0,8.87,3.0,5.25,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.882,16.238,outputs/promising/pdb/6AM5_L1_nterm_wA_3409641_0.pdb,15.882,16.238,False,3.0,6.4,8.0,8.26,True,False,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.357,2.395,outputs/promising/pdb/6AM5_L1_nterm_wA_3525792_0.pdb,3.357,2.395,True,9.0,7.6,2.0,5.2,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,13.26,13.857,outputs/promising/pdb/6AM5_L1_nterm_wA_3558352_0.pdb,13.26,13.857,False,1.0,12.39,8.0,4.47,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.672,3.143,outputs/promising/pdb/6AM5_L1_nterm_wA_4084784_0.pdb,3.672,3.143,False,9.0,5.62,3.0,5.01,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.096,4.549,outputs/promising/pdb/6AM5_L1_nterm_wA_4404938_0.pdb,4.096,4.549,False,10.0,8.41,2.0,4.23,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,13.828,14.477,outputs/promising/pdb/6AM5_L1_nterm_wA_4432607_0.pdb,13.828,14.477,False,1.0,7.49,9.0,4.06,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.696,2.843,outputs/promising/pdb/6AM5_L1_nterm_wA_4655035_0.pdb,3.696,2.843,False,9.0,5.61,2.0,5.01,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,16.7,17.284,outputs/promising/pdb/6AM5_L1_nterm_wA_4738856_0.pdb,16.7,17.284,False,3.0,6.74,9.0,5.59,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,13.741,14.264,outputs/promising/pdb/6AM5_L1_nterm_wA_4793829_0.pdb,13.741,14.264,False,3.0,7.67,10.0,4.22,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.906,4.097,outputs/promising/pdb/6AM5_L1_nterm_wA_4987597_0.pdb,3.906,4.097,False,10.0,8.87,3.0,4.48,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,14.277,14.977,outputs/promising/pdb/6AM5_L1_nterm_wA_5150748_0.pdb,14.277,14.977,False,1.0,5.07,8.0,4.7,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,12.464,12.901,outputs/promising/pdb/6AM5_L1_nterm_wA_5210660_0.pdb,12.464,12.901,False,1.0,4.71,7.0,8.94,True,False,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,2.502,3.775,outputs/promising/pdb/6AM5_L1_nterm_wA_5344631_0.pdb,2.502,3.775,False,10.0,4.97,3.0,5.3,True,True,GIG,forward,True,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.306,2.637,outputs/promising/pdb/6AM5_L1_nterm_wA_5360307_0.pdb,3.306,2.637,False,9.0,5.02,2.0,5.75,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.851,4.095,outputs/promising/pdb/6AM5_L1_nterm_wA_5486751_0.pdb,3.851,4.095,False,10.0,9.46,3.0,4.41,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.058,15.799,outputs/promising/pdb/6AM5_L1_nterm_wA_5514124_0.pdb,15.058,15.799,False,1.0,4.91,8.0,3.98,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,16.581,17.084,outputs/promising/pdb/6AM5_L1_nterm_wA_5546062_0.pdb,16.581,17.084,False,3.0,6.96,9.0,5.73,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.051,4.292,outputs/promising/pdb/6AM5_L1_nterm_wA_5574444_0.pdb,4.051,4.292,False,10.0,10.28,2.0,4.54,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,12.583,13.218,outputs/promising/pdb/6AM5_L1_nterm_wA_5638682_0.pdb,12.583,13.218,False,3.0,10.43,9.0,5.98,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.337,15.983,outputs/promising/pdb/6AM5_L1_nterm_wA_6116881_0.pdb,15.337,15.983,False,2.0,6.42,9.0,5.3,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.766,3.012,outputs/promising/pdb/6AM5_L1_nterm_wA_6394761_0.pdb,3.766,3.012,False,9.0,5.4,3.0,4.71,True,True,DRG,forward,False,True,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,2.854,3.823,outputs/promising/pdb/6AM5_L1_nterm_wA_6605372_0.pdb,2.854,3.823,False,10.0,6.27,3.0,4.87,True,True,GIG,forward,True,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.968,16.564,outputs/promising/pdb/6AM5_L1_nterm_wA_6609648_0.pdb,15.968,16.564,False,3.0,5.95,9.0,4.3,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.397,16.049,outputs/promising/pdb/6AM5_L1_nterm_wA_6693580_0.pdb,15.397,16.049,False,1.0,6.71,8.0,4.26,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,14.03,14.901,outputs/promising/pdb/6AM5_L1_nterm_wA_6840324_0.pdb,14.03,14.901,False,1.0,7.61,8.0,4.64,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,14.2,15.083,outputs/promising/pdb/6AM5_L1_nterm_wA_6867097_0.pdb,14.2,15.083,False,2.0,7.97,8.0,5.37,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,16.201,16.546,outputs/promising/pdb/6AM5_L1_nterm_wA_7146755_0.pdb,16.201,16.546,False,5.0,7.1,10.0,5.37,False,True,off,ambiguous,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.964,2.967,outputs/promising/pdb/6AM5_L1_nterm_wA_7393942_0.pdb,3.964,2.967,False,9.0,7.32,3.0,5.37,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,10.155,10.629,outputs/promising/pdb/6AM5_L1_nterm_wA_7860914_0.pdb,10.155,10.629,False,10.0,12.15,6.0,5.02,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.199,15.834,outputs/promising/pdb/6AM5_L1_nterm_wA_7922062_0.pdb,15.199,15.834,False,2.0,7.53,10.0,4.82,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,16.028,16.783,outputs/promising/pdb/6AM5_L1_nterm_wA_8293895_0.pdb,16.028,16.783,False,2.0,6.13,8.0,5.52,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,2.724,3.729,outputs/promising/pdb/6AM5_L1_nterm_wA_8641887_0.pdb,2.724,3.729,False,10.0,4.05,3.0,5.38,True,True,GIG,forward,True,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,5.314,5.814,outputs/promising/pdb/6AM5_L1_nterm_wA_8726445_0.pdb,5.314,5.814,False,10.0,11.88,3.0,5.12,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.668,16.383,outputs/promising/pdb/6AM5_L1_nterm_wA_8859381_0.pdb,15.668,16.383,False,1.0,8.55,8.0,4.86,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.794,4.651,outputs/promising/pdb/6AM5_L1_nterm_wA_9179329_0.pdb,4.794,4.651,False,7.0,10.8,1.0,4.45,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,13.066,13.838,outputs/promising/pdb/6AM5_L1_nterm_wA_9361177_0.pdb,13.066,13.838,False,2.0,8.97,9.0,3.92,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,4.378,3.288,outputs/promising/pdb/6AM5_L1_nterm_wA_9387734_0.pdb,4.378,3.288,False,9.0,7.59,2.0,5.01,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,10.37,9.718,outputs/promising/pdb/6AM5_L1_nterm_wA_9388479_0.pdb,10.37,9.718,False,7.0,6.7,2.0,8.53,False,False,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.537,16.118,outputs/promising/pdb/6AM5_L1_nterm_wA_9439075_0.pdb,15.537,16.118,False,1.0,6.05,9.0,5.31,True,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,15.949,16.696,outputs/promising/pdb/6AM5_L1_nterm_wA_9744694_0.pdb,15.949,16.696,False,1.0,7.33,7.0,4.8,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,14.114,14.87,outputs/promising/pdb/6AM5_L1_nterm_wA_9875722_0.pdb,14.114,14.87,False,1.0,8.6,8.0,4.18,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,17.763,18.082,outputs/promising/pdb/6AM5_L1_nterm_wA_9912522_0.pdb,17.763,18.082,False,4.0,6.86,10.0,8.04,False,False,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L1_nterm,True,10,3.549,3.236,outputs/promising/pdb/6AM5_L1_nterm_wA_9963320_0.pdb,3.549,3.236,False,8.0,7.65,2.0,4.82,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L2_nterm_t1,True,10,3.296,2.908,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0108702_0.pdb,3.296,2.908,False,9.0,8.57,2.0,4.35,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L2_nterm_t1,True,10,4.779,4.091,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0163086_0.pdb,4.779,4.091,False,8.0,7.25,2.0,4.73,False,True,off,forward,False,False,neither,neither
promising,6AM5,withTCR,L2_nterm_t1,True,10,14.734,15.553,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0329595_0.pdb,14.734,15.553,False,3.0,10.52,8.0,4.69,False,True,off,reverse,False,False,neither,neither
promising,6AM5,withTCR,L2_nterm_t1,True,10,6.596,7.08,outputs/promising/pdb/6AM5_L2_nterm_t1_wA_0396375_0.pdb,6.596,7.08,False,8.0,12.63,2.0,3.96,False,True,off,forward,False,False,neither,neither
